word,frequency,percentage
ppc,924,0.08809220317265405
complainant,924,0.08809220317265405
considered,921,0.08780618952598958
read,916,0.08732950011488215
contends,916,0.08732950011488215
three,909,0.08666213493933174
v.,908,0.08656679705711025
recorded,897,0.0855180803526739
official,890,0.08485071517712349
reported,886,0.08446936364823754
must,883,0.08418335000157307
circumstance,879,0.08380199847268713
session,872,0.08313463329713672
even,868,0.08275328176825077
project,867,0.08265794388602929
abdul,865,0.0824672681215863
action,865,0.0824672681215863
benefit,864,0.08237193023936482
required,860,0.08199057871047886
gone,859,0.08189524082825739
perused,853,0.08132321353492847
dr.,851,0.08113253777048549
first,849,0.08094186200604252
interest,848,0.08084652412382103
behalf,847,0.08075118624159953
failed,840,0.08008382106604914
light,840,0.08008382106604914
effect,839,0.07998848318382765
judiciary,837,0.07979780741938466
provincial,833,0.07941645589049873
empowerment,829,0.07903510436161278
chairman,824,0.07855841495050533
regard,823,0.07846307706828386
maintained,822,0.07836773918606237
employee,822,0.07836773918606237
regarding,821,0.07827240130384087
course,814,0.07760503612829046
bank,814,0.07760503612829046
accordance,813,0.07750969824606899
exercise,812,0.0774143603638475
decision,812,0.0774143603638475
accordingly,808,0.07703300883496154
concerned,803,0.0765563194238541
delay,798,0.07607963001274667
reference,796,0.0758889542483037
competent,790,0.07531692695497479
people,786,0.07493557542608884
th,785,0.07484023754386734
misc,777,0.07407753448609546
ahmed,776,0.07398219660387395
national,774,0.07379152083943098
medical,772,0.07360084507498801
respect,768,0.07321949354610206
since,765,0.0729334798994376
committee,765,0.0729334798994376
asi,762,0.07264746625277314
additional,760,0.07245679048833017
purpose,760,0.07245679048833017
result,759,0.07236145260610867
length,757,0.0721707768416657
another,756,0.07207543895944422
arp,750,0.0715034116661153
special,749,0.07140807378389381
appointed,748,0.07131273590167232
make,747,0.07121739801945083
pay,745,0.07102672225500786
sp,745,0.07102672225500786
member,740,0.07055003284390042
bps,738,0.07035935707945745
sgc,738,0.07035935707945745
respective,736,0.07016868131501447
